PC=00000218, REG[13]=0012f23a
PC=0000021c, REG[14]=0012f23a
PC=00000220, REG[14]=4bc8e800
PC=00000224, REG[14]=4bb5f5c6
PC=00000228, REG[13]=00000080
PC=0000022c, REG[15]=00000002
PC=00000230, REG[15]=00000008
PC=00000234, REG[14]=0000fff0
PC=00000238, REG[15]=0000fff8
PC=0000023c, ---
PC=00000240, REG[15]=00000002
PC=00000244, REG[15]=00000003
PC=00000248, ---
PC=0000024c, REG[14]=00000003
PC=00000250, REG[15]=00000062
PC=00000254, ---
PC=000001ec, REG[ 1]=000001ec
PC=000001f0, REG[ 1]=000001f4
PC=000002a0, REG[15]=00000000
PC=000002a4, REG[16]=00000360
PC=000002a8, REG[11]=4c958000
PC=000002ac, REG[11]=4c957f2d
PC=000002b0, REG[13]=404a560c
PC=000002b4, REG[14]=cbb5f646
PC=000002b8, REG[15]=d2bd141c
PC=000002bc, REG[12]=d2bd141d
PC=000002c0, REG[15]=00000000
PC=000002c4, ---
PC=000002c8, REG[12]=5851f000
PC=000002cc, REG[12]=5851f42d
PC=000002d0, REG[12]=80e0901c
PC=000002d4, REG[14]=32e7044e
PC=000002d8, REG[13]=133b9cbf
PC=000002dc, REG[14]=b3c7946a
PC=000002e0, REG[14]=c7033129
PC=000002e4, REG[15]=c7033129
PC=000002e8, REG[10]=8e066252
PC=000002ec, ---
PC=000002f0, REG[10]=47033129
PC=000002f4, ---
PC=000001f4, REG[15]=47033129
PC=000001f8, REG[14]=80201000
PC=000001fc, REG[14]=80200803
PC=00000200, REG[13]=93b2db7b
PC=00000204, REG[19]=dc874a0a
PC=00000208, REG[18]=93b2db7b
PC=0000020c, REG[14]=238a7b33
PC=00000210, REG[13]=0011c53d
PC=00000214, REG[14]=00000000
PC=00000218, REG[13]=0011c53d
PC=0000021c, REG[14]=0011c53d
PC=00000220, REG[14]=4714f400
PC=00000224, REG[14]=47032ec3
PC=00000228, REG[13]=00000266
PC=0000022c, REG[15]=00000003
PC=00000230, REG[15]=0000000c
PC=00000234, REG[14]=0000fff0
PC=00000238, REG[15]=0000fffc
PC=0000023c, ---
PC=00000240, REG[15]=00000003
PC=00000244, REG[15]=00000004
PC=00000248, ---
PC=0000024c, REG[14]=00000004
PC=00000250, REG[15]=00000062
PC=00000254, ---
PC=000001ec, REG[ 1]=000001ec
PC=000001f0, REG[ 1]=000001f4
PC=000002a0, REG[15]=00000000
PC=000002a4, REG[16]=00000360
PC=000002a8, REG[11]=4c958000
PC=000002ac, REG[11]=4c957f2d
PC=000002b0, REG[13]=d2bd141d
PC=000002b4, REG[14]=c7033129
PC=000002b8, REG[15]=2917ec19
PC=000002bc, REG[12]=2917ec1a
PC=000002c0, REG[15]=00000000
PC=000002c4, ---
PC=000002c8, REG[12]=5851f000
PC=000002cc, REG[12]=5851f42d
PC=000002d0, REG[12]=97952d19
PC=000002d4, REG[14]=59cffb35
PC=000002d8, REG[13]=3f0b32b6
PC=000002dc, REG[14]=f165284e
PC=000002e0, REG[14]=30705b04
PC=000002e4, REG[15]=30705b04
PC=000002e8, REG[10]=60e0b608
PC=000002ec, ---
PC=000002f0, REG[10]=30705b04
PC=000002f4, ---
PC=000001f4, REG[15]=30705b04
PC=000001f8, REG[14]=80201000
PC=000001fc, REG[14]=80200803
PC=00000200, REG[13]=74a9310c
PC=00000204, REG[19]=e7cde20d
PC=00000208, REG[18]=74a9310c
PC=0000020c, REG[14]=183e3d11
PC=00000210, REG[13]=000c1f1e
PC=00000214, REG[14]=00000000
PC=00000218, REG[13]=000c1f1e
PC=0000021c, REG[14]=000c1f1e
PC=00000220, REG[14]=307c7800
PC=00000224, REG[14]=307058e2
PC=00000228, REG[13]=00000222
PC=0000022c, REG[15]=00000004
PC=00000230, REG[15]=00000010
PC=00000234, REG[14]=0000fff0
PC=00000238, REG[15]=00010000
PC=0000023c, ---
PC=00000240, REG[15]=00000004
PC=00000244, REG[15]=00000005
PC=00000248, ---
PC=0000024c, REG[14]=00000005
PC=00000250, REG[15]=00000062
PC=00000254, ---
PC=000001ec, REG[ 1]=000001ec
PC=000001f0, REG[ 1]=000001f4
PC=000002a0, REG[15]=00000000
PC=000002a4, REG[16]=00000360
PC=000002a8, REG[11]=4c958000
PC=000002ac, REG[11]=4c957f2d
PC=000002b0, REG[13]=2917ec1a
PC=000002b4, REG[14]=30705b04
PC=000002b8, REG[15]=3a776692
PC=000002bc, REG[12]=3a776693
PC=000002c0, REG[15]=00000000
PC=000002c4, ---
PC=000002c8, REG[12]=5851f000
PC=000002cc, REG[12]=5851f42d
PC=000002d0, REG[12]=aa774892
PC=000002d4, REG[14]=6a3afbb4
PC=000002d8, REG[13]=0c4b196e
PC=000002dc, REG[14]=14b24446
PC=000002e0, REG[14]=20fd5db4
PC=000002e4, REG[15]=20fd5db4
PC=000002e8, REG[10]=41fabb68
PC=000002ec, ---
PC=000002f0, REG[10]=20fd5db4
PC=000002f4, ---
PC=000001f4, REG[15]=20fd5db4
PC=000001f8, REG[14]=80201000
PC=000001fc, REG[14]=80200803
PC=00000200, REG[13]=0465b91c
PC=00000204, REG[19]=ef8571da
PC=00000208, REG[18]=0465b91c
PC=0000020c, REG[14]=1082cf8e
PC=00000210, REG[13]=00084167
PC=00000214, REG[14]=00000000
PC=00000218, REG[13]=00084167
PC=0000021c, REG[14]=00084167
PC=00000220, REG[14]=21059c00
PC=00000224, REG[14]=20fd5a99
PC=00000228, REG[13]=0000031b
PC=0000022c, REG[15]=00000005
PC=00000230, REG[15]=00000014
PC=00000234, REG[14]=0000fff0
PC=00000238, REG[15]=00010004
PC=0000023c, ---
PC=00000240, REG[15]=00000005
PC=00000244, REG[15]=00000006
PC=00000248, ---
PC=0000024c, REG[14]=00000006
PC=00000250, REG[15]=00000062
PC=00000254, ---
PC=000001ec, REG[ 1]=000001ec
PC=000001f0, REG[ 1]=000001f4
PC=000002a0, REG[15]=00000000
PC=000002a4, REG[16]=00000360
PC=000002a8, REG[11]=4c958000
PC=000002ac, REG[11]=4c957f2d
PC=000002b0, REG[13]=3a776693
PC=000002b4, REG[14]=20fd5db4
PC=000002b8, REG[15]=da6ef4d7
PC=000002bc, REG[12]=da6ef4d8
PC=000002c0, REG[15]=00000000
PC=000002c4, ---
PC=000002c8, REG[12]=5851f000
PC=000002cc, REG[12]=5851f42d
PC=000002d0, REG[12]=114423d7
PC=000002d4, REG[14]=77c9c4a4
PC=000002d8, REG[13]=117d96fd
PC=000002dc, REG[14]=890de87b
PC=000002e0, REG[14]=9a8b7f78
PC=000002e4, REG[15]=9a8b7f78
PC=000002e8, REG[10]=3516fef0
PC=000002ec, ---
PC=000002f0, REG[10]=1a8b7f78
PC=000002f4, ---
PC=000001f4, REG[15]=1a8b7f78
PC=000001f8, REG[14]=80201000
PC=000001fc, REG[14]=80200803
PC=00000200, REG[13]=9a9e3e68
PC=00000204, REG[19]=f2bd9288
PC=00000208, REG[18]=9a9e3e68
PC=0000020c, REG[14]=0d491200
PC=00000210, REG[13]=0006a489
PC=00000214, REG[14]=00000000
PC=00000218, REG[13]=0006a489
PC=0000021c, REG[14]=0006a489
PC=00000220, REG[14]=1a922400
PC=00000224, REG[14]=1a8b7f77
PC=00000228, REG[13]=00000001
PC=0000022c, REG[15]=00000006
PC=00000230, REG[15]=00000018
PC=00000234, REG[14]=0000fff0
PC=00000238, REG[15]=00010008
PC=0000023c, ---
PC=00000240, REG[15]=00000006
PC=00000244, REG[15]=00000007
PC=00000248, ---
PC=0000024c, REG[14]=00000007
PC=00000250, REG[15]=00000062
PC=00000254, ---
PC=000001ec, REG[ 1]=000001ec
PC=000001f0, REG[ 1]=000001f4
PC=000002a0, REG[15]=00000000
PC=000002a4, REG[16]=00000360
PC=000002a8, REG[11]=4c958000
PC=000002ac, REG[11]=4c957f2d
PC=000002b0, REG[13]=da6ef4d8
PC=000002b4, REG[14]=9a8b7f78
PC=000002b8, REG[15]=12b031f8
PC=000002bc, REG[12]=12b031f9
PC=000002c0, REG[15]=00000000
PC=000002c4, ---
PC=000002c8, REG[12]=5851f000
PC=000002cc, REG[12]=5851f42d
PC=000002d0, REG[12]=df36e9f8
PC=000002d4, REG[14]=2f99f018
PC=000002d8, REG[13]=41587fc8
PC=000002dc, REG[14]=0ed0da10
PC=000002e0, REG[14]=502959d8
PC=000002e4, REG[15]=502959d8
PC=000002e8, REG[10]=a052b3b0
PC=000002ec, ---
PC=000002f0, REG[10]=502959d8
PC=000002f4, ---
PC=000001f4, REG[15]=502959d8
PC=000001f8, REG[14]=80201000
PC=000001fc, REG[14]=80200803
PC=00000200, REG[13]=764acd88
PC=00000204, REG[19]=d7f55ac1
PC=00000208, REG[18]=764acd88
PC=0000020c, REG[14]=281eb499
PC=00000210, REG[13]=00140f5a
PC=00000214, REG[14]=00000000
PC=00000218, REG[13]=00140f5a
PC=0000021c, REG[14]=00140f5a
PC=00000220, REG[14]=503d6800
PC=00000224, REG[14]=502958a6
PC=00000228, REG[13]=00000132
PC=0000022c, REG[15]=00000007
PC=00000230, REG[15]=0000001c
PC=00000234, REG[14]=0000fff0
PC=00000238, REG[15]=0001000c
PC=0000023c, ---
PC=00000240, REG[15]=00000007
PC=00000244, REG[15]=00000008
PC=00000248, ---
PC=0000024c, REG[14]=00000008
PC=00000250, REG[15]=00000062
PC=00000254, ---
PC=000001ec, REG[ 1]=000001ec
PC=000001f0, REG[ 1]=000001f4
PC=000002a0, REG[15]=00000000
PC=000002a4, REG[16]=00000360
PC=000002a8, REG[11]=4c958000
PC=000002ac, REG[11]=4c957f2d
PC=000002b0, REG[13]=12b031f9
PC=000002b4, REG[14]=502959d8
PC=000002b8, REG[15]=b3b04fc5
PC=000002bc, REG[12]=b3b04fc6
PC=000002c0, REG[15]=00000000
PC=000002c4, ---
PC=000002c8, REG[12]=5851f000
PC=000002cc, REG[12]=5851f42d
PC=000002d0, REG[12]=a0631cc5
PC=000002d4, REG[14]=058ef2f8
PC=000002d8, REG[13]=059738ab
PC=000002dc, REG[14]=a5f20fbd
PC=000002e0, REG[14]=ab894868
PC=000002e4, REG[15]=ab894868
PC=000002e8, REG[10]=571290d0
PC=000002ec, ---
PC=000002f0, REG[10]=2b894868
PC=000002f4, ---
PC=000001f4, REG[15]=2b894868
PC=000001f8, REG[14]=80201000
PC=000001fc, REG[14]=80200803
PC=00000200, REG[13]=d9df1938
PC=00000204, REG[19]=ea40ce51
PC=00000208, REG[18]=d9df1938
PC=0000020c, REG[14]=15ca16b9
PC=00000210, REG[13]=000ae50b
PC=00000214, REG[14]=00000000
PC=00000218, REG[13]=000ae50b
PC=0000021c, REG[14]=000ae50b
PC=00000220, REG[14]=2b942c00
PC=00000224, REG[14]=2b8946f5
PC=00000228, REG[13]=00000173
PC=0000022c, REG[15]=00000008
PC=00000230, REG[15]=00000020
PC=00000234, REG[14]=0000fff0
PC=00000238, REG[15]=00010010
PC=0000023c, ---
PC=00000240, REG[15]=00000008
PC=00000244, REG[15]=00000009
PC=00000248, ---
PC=0000024c, REG[14]=00000009
PC=00000250, REG[15]=00000062
PC=00000254, ---
PC=000001ec, REG[ 1]=000001ec
PC=000001f0, REG[ 1]=000001f4
PC=000002a0, REG[15]=00000000
PC=000002a4, REG[16]=00000360
PC=000002a8, REG[11]=4c958000
PC=000002ac, REG[11]=4c957f2d
PC=000002b0, REG[13]=b3b04fc6
PC=000002b4, REG[14]=ab894868
PC=000002b8, REG[15]=43cf3fce
PC=000002bc, REG[12]=43cf3fcf
PC=000002c0, REG[15]=00000000
PC=000002c4, ---
PC=000002c8, REG[12]=5851f000
PC=000002cc, REG[12]=5851f42d
PC=000002d0, REG[12]=efacbdce
PC=000002d4, REG[14]=46955248
PC=000002d8, REG[13]=35c14691
PC=000002dc, REG[14]=36421016
PC=000002e0, REG[14]=6c0356a7
PC=000002e4, REG[15]=6c0356a7
PC=000002e8, REG[10]=d806ad4e
PC=000002ec, ---
PC=000002f0, REG[10]=6c0356a7
PC=000002f4, ---
PC=000001f4, REG[15]=6c0356a7
PC=000001f8, REG[14]=80201000
PC=000001fc, REG[14]=80200803
PC=00000200, REG[13]=b39f3bf5
PC=00000204, REG[19]=ca0bd878
PC=00000208, REG[18]=b39f3bf5
PC=0000020c, REG[14]=360f2f1f
PC=00000210, REG[13]=001b0797
PC=00000214, REG[14]=00000000
PC=00000218, REG[13]=001b0797
PC=0000021c, REG[14]=001b0797
PC=00000220, REG[14]=6c1e5c00
PC=00000224, REG[14]=6c035469
PC=00000228, REG[13]=0000023e
PC=0000022c, REG[15]=00000009
PC=00000230, REG[15]=00000024
PC=00000234, REG[14]=0000fff0
PC=00000238, REG[15]=00010014
PC=0000023c, ---
PC=00000240, REG[15]=00000009
PC=00000244, REG[15]=0000000a
PC=00000248, ---
PC=0000024c, REG[14]=0000000a
PC=00000250, REG[15]=00000062
PC=00000254, ---
PC=000001ec, REG[ 1]=000001ec
PC=000001f0, REG[ 1]=000001f4
PC=000002a0, REG[15]=00000000
PC=000002a4, REG[16]=00000360
PC=000002a8, REG[11]=4c958000
PC=000002ac, REG[11]=4c957f2d
PC=000002b0, REG[13]=43cf3fcf
PC=000002b4, REG[14]=6c0356a7
PC=000002b8, REG[15]=5390e863
PC=000002bc, REG[12]=5390e864
PC=000002c0, REG[15]=00000000
PC=000002c4, ---
PC=000002c8, REG[12]=5851f000
PC=000002cc, REG[12]=5851f42d
PC=000002d0, REG[12]=ccbe8363
PC=000002d4, REG[14]=a7c6145b
PC=000002d8, REG[13]=14492041
PC=000002dc, REG[14]=748497be
PC=000002e0, REG[14]=88cdb7ff
PC=000002e4, REG[15]=88cdb7ff
PC=000002e8, REG[10]=119b6ffe
PC=000002ec, ---
PC=000002f0, REG[10]=08cdb7ff
PC=000002f4, ---
